attack_id,datetime,year,month,lat,lon,basin,vessel_type,attack_type,crew_injured,hostages_taken,weapons,narrative
ASAM-1993-00000,2019-07-24T08:58:00,2019,7,6.8785,8.3495,Gulf of Guinea,Bulk Carrier,Fired Upon,0,0,Unknown,"Bulk Carrier attacked by Bakassi Strike Force remnant approx 265nm offshore. MOA: AK-47 + GPMG armed boarding. Weapons observed: RPG-7. master engaged evasive maneuvers, RPG and small arms fire received."
ASAM-1994-00001,2021-06-07T07:45:00,2021,6,3.9213,4.8959,Gulf of Guinea,Fishing Vessel,Fired Upon,0,0,Small arms,"Fishing Vessel attacked by Niger Delta militant offshoot underway in transit lane. MOA: tanker product theft (siphon). Weapons observed: RPG-7. master engaged evasive maneuvers, RPG and small arms fire received."
ASAM-1995-00002,1994-11-21T20:07:00,1994,11,5.1419,6.8111,Gulf of Guinea,LPG/LNG Tanker,Boarded,0,3,Small arms,"LPG/LNG Tanker attacked by Nigerian kidnap-for-ransom cell in narrow channel. MOA: tanker product theft (siphon). Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics; 3 crew taken hostage; ransom demand transmitted within 72h."
ASAM-1996-00003,2021-09-05T03:10:00,2021,9,5.0631,6.7006,Gulf of Guinea,Bulk Carrier,Boarded,1,0,Unknown,"Bulk Carrier attacked by Niger Delta militant offshoot approx 270nm offshore. MOA: kidnap-for-ransom of officers. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics; 2 crew sustained injuries."
ASAM-1997-00004,2008-12-20T04:47:00,2008,12,10.3144,-64.8291,Caribbean / Venezuelan,RoRo Vehicle Carrier,Hijacked,0,17,RPG,"RoRo Vehicle Carrier attacked by Trinidad-Tobago smuggler crew underway in transit lane. MOA: small arms intimidation. Weapons observed: small arms. vessel hijacked, crew of 21 taken to coastal anchorage; 17 crew taken hostage; ransom demand transmitted within 72h."
ASAM-1998-00005,1998-08-06T03:18:00,1998,8,12.1665,49.3347,Gulf of Aden,Bulk Carrier,Attempted,0,0,RPG,Bulk Carrier attacked by Hobyo-Harardhere PAG in narrow channel. MOA: RPG warning shot then boarding. Weapons observed: knives/machetes. approach broken off after master sounded alarm and engaged firehoses.
ASAM-1999-00006,2018-09-19T19:20:00,2018,9,4.724,5.4021,Gulf of Guinea,Chemical Tanker,Fired Upon,1,0,Unknown,"Chemical Tanker attacked by Nigerian kidnap-for-ransom cell approx 261nm offshore. MOA: AK-47 + GPMG armed boarding. Weapons observed: AK-47. master engaged evasive maneuvers, RPG and small arms fire received; 1 crew sustained injuries."
ASAM-2000-00007,2012-03-18T20:22:00,2012,3,14.3543,49.2542,Gulf of Aden,Container Ship,Fired Upon,0,0,RPG,"Container Ship attacked by Somali pirate skiff network underway in transit lane. MOA: mothership-launched skiff swarm. Weapons observed: M16 + RPG. master engaged evasive maneuvers, RPG and small arms fire received."
ASAM-2001-00008,2018-03-05T08:19:00,2018,3,13.0451,-64.2699,Caribbean / Venezuelan,Chemical Tanker,Boarded,0,2,RPG,"Chemical Tanker attacked by Venezuelan coastal gang at anchorage. MOA: crew theft + minor injuries. Weapons observed: small arms. boarders rifled bridge & masters cabin, stole cash and electronics; 2 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2002-00009,2023-05-27T18:39:00,2023,5,3.5476,4.4733,Gulf of Guinea,Bulk Carrier,Suspicious Approach,0,0,Unknown,Bulk Carrier attacked by Bakassi Strike Force remnant approx 107nm offshore. MOA: fast attack craft >150nm offshore. Weapons observed: small arms. unidentified skiff shadowed vessel for 18 minutes before withdrawing.
ASAM-2003-00010,2024-02-26T23:04:00,2024,2,4.6683,121.5017,Sulu Sea,Crude Oil Tanker,Boarded,1,5,Small arms,"Crude Oil Tanker attacked by Sulu archipelago kidnapping ring underway in transit lane. MOA: M16 + RPG armed boarding. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics; 3 crew sustained injuries; 5 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2004-00011,2009-11-19T05:06:00,2009,11,13.474,46.8003,Gulf of Aden,Bulk Carrier,Attempted,0,0,AK-47,Bulk Carrier attacked by Hobyo-Harardhere PAG in narrow channel. MOA: mothership-launched skiff swarm. Weapons observed: M16 + RPG. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2005-00012,2009-02-27T17:17:00,2009,2,12.093,45.1004,Gulf of Aden,Container Ship,Attempted,0,0,RPG,Container Ship attacked by Puntland-based PAG underway in transit lane. MOA: RPG warning shot then boarding. Weapons observed: RPG-7. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2006-00013,2020-01-24T19:49:00,2020,1,2.8624,102.1034,Strait of Malacca,Yacht,Attempted,0,0,Knives,"Yacht attacked by Free Aceh splinter (historical) in narrow channel. MOA: knife-armed boarders, no firearms. Weapons observed: small arms. approach broken off after master sounded alarm and engaged firehoses."
ASAM-2007-00014,2006-03-02T19:45:00,2006,3,3.9967,101.323,Strait of Malacca,Container Ship,Attempted,0,0,AK-47,"Container Ship attacked by Riau Archipelago armed robbers approx 186nm offshore. MOA: knife-armed boarders, no firearms. Weapons observed: AK-47. approach broken off after master sounded alarm and engaged firehoses."
ASAM-2008-00015,2001-12-11T13:21:00,2001,12,12.4431,47.6816,Gulf of Aden,Container Ship,Attempted,0,0,RPG,Container Ship attacked by Somali pirate skiff network in narrow channel. MOA: RPG warning shot then boarding. Weapons observed: AK-47. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2009-00016,2006-06-25T19:43:00,2006,6,2.2742,101.979,Strait of Malacca,Crude Oil Tanker,Hijacked,0,19,AK-47,"Crude Oil Tanker attacked by Free Aceh splinter (historical) underway in transit lane. MOA: nighttime stealth boarding at anchorage. Weapons observed: knives/machetes. vessel hijacked, crew of 18 taken to coastal anchorage; 19 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2010-00017,2019-09-21T03:05:00,2019,9,4.6564,7.6232,Gulf of Guinea,Container Ship,Hijacked,0,16,Unknown,"Container Ship attacked by Niger Delta militant offshoot underway in transit lane. MOA: AK-47 + GPMG armed boarding. Weapons observed: RPG-7. vessel hijacked, crew of 12 taken to coastal anchorage; 16 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2011-00018,1999-11-01T20:46:00,1999,11,12.4705,51.4079,Gulf of Aden,Crude Oil Tanker,Attempted,0,0,Knives,Crude Oil Tanker attacked by Hobyo-Harardhere PAG in narrow channel. MOA: RPG warning shot then boarding. Weapons observed: AK-47. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2012-00019,2019-05-19T16:11:00,2019,5,4.5709,7.8696,Gulf of Guinea,Container Ship,Attempted,0,0,RPG,Container Ship attacked by Nigerian kidnap-for-ransom cell underway in transit lane. MOA: AK-47 + GPMG armed boarding. Weapons observed: AK-47. approach broken off after master sounded alarm and engaged firehoses.
ASAM-2013-00020,2012-08-28T21:04:00,2012,8,6.8124,121.4952,Sulu Sea,Fishing Vessel,Boarded,0,1,AK-47,"Fishing Vessel attacked by Abu Sayyaf maritime cell approx 65nm offshore. MOA: speedboat intercept tug & barge. Weapons observed: knives/machetes. boarders rifled bridge & masters cabin, stole cash and electronics; 1 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2014-00021,2012-03-02T19:25:00,2012,3,11.9377,47.8494,Gulf of Aden,Bulk Carrier,Boarded,0,0,RPG,"Bulk Carrier attacked by Somali pirate skiff network in narrow channel. MOA: grappling hook boarding at low freeboard. Weapons observed: small arms. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2015-00022,2004-12-25T21:33:00,2004,12,5.5652,120.2284,Sulu Sea,Bulk Carrier,Suspicious Approach,0,0,Small arms,Bulk Carrier attacked by BIFF splinter group at anchorage. MOA: speedboat intercept tug & barge. Weapons observed: AK-47. unidentified skiff shadowed vessel for 18 minutes before withdrawing.
ASAM-2016-00023,2007-08-04T15:26:00,2007,8,2.8413,1.0785,Gulf of Guinea,Container Ship,Suspicious Approach,1,0,Small arms,Container Ship attacked by Nigerian kidnap-for-ransom cell at anchorage. MOA: AK-47 + GPMG armed boarding. Weapons observed: RPG-7. unidentified skiff shadowed vessel for 18 minutes before withdrawing; 2 crew sustained injuries.
ASAM-2017-00024,1996-01-04T19:18:00,1996,1,3.0822,7.5627,Gulf of Guinea,Fishing Vessel,Boarded,1,2,AK-47,"Fishing Vessel attacked by Niger Delta militant offshoot at anchorage. MOA: fast attack craft >150nm offshore. Weapons observed: small arms. boarders rifled bridge & masters cabin, stole cash and electronics; 1 crew sustained injuries; 2 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2018-00025,2011-02-27T19:47:00,2011,2,13.0527,47.9324,Gulf of Aden,Bulk Carrier,Boarded,0,0,Knives,"Bulk Carrier attacked by Puntland-based PAG in narrow channel. MOA: RPG warning shot then boarding. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2019-00026,2018-02-09T11:45:00,2018,2,4.7721,2.4913,Gulf of Guinea,Container Ship,Boarded,0,1,Knives,"Container Ship attacked by Bakassi Strike Force remnant underway in transit lane. MOA: kidnap-for-ransom of officers. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics; 1 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2020-00027,2009-09-07T04:53:00,2009,9,11.6237,48.518,Gulf of Aden,Tug & Barge,Hijacked,0,11,Small arms,"Tug & Barge attacked by Somali pirate skiff network approx 212nm offshore. MOA: grappling hook boarding at low freeboard. Weapons observed: M16 + RPG. vessel hijacked, crew of 27 taken to coastal anchorage; 11 crew taken hostage; ransom demand transmitted within 72h."
ASAM-2021-00028,2018-01-13T18:51:00,2018,1,3.5315,3.1519,Gulf of Guinea,Yacht,Boarded,0,0,RPG,"Yacht attacked by Nigerian kidnap-for-ransom cell at anchorage. MOA: fast attack craft >150nm offshore. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2022-00029,2024-11-02T05:09:00,2024,11,3.7781,5.261,Gulf of Guinea,Container Ship,Fired Upon,0,0,AK-47,"Container Ship attacked by Nigerian kidnap-for-ransom cell at anchorage. MOA: kidnap-for-ransom of officers. Weapons observed: knives/machetes. master engaged evasive maneuvers, RPG and small arms fire received."
ASAM-2023-00030,2016-03-20T22:54:00,2016,3,5.311,118.9039,Sulu Sea,Fishing Vessel,Boarded,0,0,Unknown,"Fishing Vessel attacked by Abu Sayyaf maritime cell in narrow channel. MOA: speedboat intercept tug & barge. Weapons observed: small arms. boarders rifled bridge & masters cabin, stole cash and electronics."
ASAM-2024-00031,2020-09-24T19:01:00,2020,9,3.0099,4.8286,Gulf of Guinea,Fishing Vessel,Boarded,1,0,AK-47,"Fishing Vessel attacked by Nigerian kidnap-for-ransom cell approx 279nm offshore. MOA: fast attack craft >150nm offshore. Weapons observed: AK-47. boarders rifled bridge & masters cabin, stole cash and electronics; 4 crew sustained injuries."
ASAM-2025-00032,2008-01-06T23:40:00,2008,1,12.8186,52.2105,Gulf of Aden,Crude Oil Tanker,Hijacked,0,9,RPG,"Crude Oil Tanker attacked by Puntland-based PAG at anchorage. MOA: RPG warning shot then boarding. Weapons observed: knives/machetes. vessel hijacked, crew of 27 taken to coastal anchorage; 9 crew taken hostage; ransom demand transmitted within 72h."
ASAM-1993-00033,2015-11-17T02:14:00,2015,11,13.0991,49.6388,Gulf of Aden,General Cargo,Attempted,0,0,Knives,General Cargo attacked by Somali pirate skiff network at anchorage. MOA: AK-47 small arms suppression. Weapons observed: M16 + RPG. approach broken off after master sounded alarm and engaged firehoses.
ASAM-1994-00034,2021-07-20T04:37:00,2021,7,10.639,47.7917,Gulf of Aden,RoRo Vehicle Carrier,Boarded,1,0,RPG,"RoRo Vehicle Carrier attacked by Hobyo-Harardhere PAG in narrow channel. MOA: RPG warning shot then boarding. Weapons observed: RPG-7. boarders rifled bridge & masters cabin, stole cash and electronics; 4 crew sustained injuries."
ASAM-1995-00035,1997-05-15T23:26:00,1997,5,5.6294,6.1944,Gulf of Guinea,Crude Oil Tanker,Boarded,1,6,Small arms,"Crude Oil Tanker attacked by Niger Delta militant offshoot at anchorage. MOA: tanker product theft (siphon). Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics; 2 crew sustained injuries; 6 crew taken hostage; ransom demand transmitted within 72h."
ASAM-1996-00036,2014-07-22T18:58:00,2014,7,4.7402,5.0711,Gulf of Guinea,Bulk Carrier,Attempted,0,0,Small arms,Bulk Carrier attacked by Niger Delta militant offshoot approx 186nm offshore. MOA: kidnap-for-ransom of officers. Weapons observed: RPG-7. approach broken off after master sounded alarm and engaged firehoses.
ASAM-1997-00037,2018-12-25T20:19:00,2018,12,10.7617,-64.201,Caribbean / Venezuelan,Container Ship,Boarded,0,6,Knives,"Container Ship attacked by Venezuelan coastal gang underway in transit lane. MOA: crew theft + minor injuries. Weapons observed: M16 + RPG. boarders rifled bridge & masters cabin, stole cash and electronics; 6 crew taken hostage; ransom demand transmitted within 72h."
